"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"
0	0.000000000000000e+00	0.000000000000000e+00	1.203672372208700e-04	0.000000000000000e+00	0.000000000000000e+00	2.619522010925515e+01	1.047808804370206e+01	3.032522950465130e+02	1.169087092752585e+00	0.000000000000000e+00	0.000000000000000e+00	6.648651404780770e-02	1.157745222976024e-04	3.184544669800107e-02	
1	1.000000000000001e+00	1.259999999999870e-03	9.841062664661397e-05	0.000000000000000e+00	0.000000000000000e+00	2.118487714076765e+01	8.473950856307058e+00	2.999675590364649e+02	-1.474912142583688e-01	0.000000000000000e+00	0.000000000000000e+00	1.185664406183348e-02	5.249571455920305e-06	1.097653879961974e-02	
2	1.000000000000001e+00	-1.259999999999870e-03	9.831109235683532e-05	0.000000000000000e+00	0.000000000000000e+00	2.116367183254900e+01	8.465468733019600e+00	2.999706979790103e+02	-1.530633774754858e-01	0.000000000000000e+00	0.000000000000000e+00	1.468817087794179e-02	7.093574930783551e-06	1.221082904752472e-02	
3	1.062794677165866e+02	9.693281331414157e+00	1.051994482761659e-04	1.793035901498658e-02	2.752899047232001e-04	2.327741210982158e+01	8.699605061710438e+00	2.880821970064156e+02	7.478551967750833e-04	5.009791464779059e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	
4	1.770938670700321e-04	9.841939657639555e-04	1.197537998420123e-04	0.000000000000000e+00	0.000000000000000e+00	2.605760486722308e+01	1.042304194688923e+01	3.032044201486266e+02	1.132925647615391e+00	0.000000000000000e+00	0.000000000000000e+00	9.451304908439409e-02	-7.898221868636483e-05	3.866113472152239e-02	
5	3.985107010596989e-04	2.214711518610739e-03	1.193904840892019e-04	0.000000000000000e+00	0.000000000000000e+00	2.597197231254036e+01	1.038878892501614e+01	3.031276514527013e+02	1.110423802017538e+00	0.000000000000000e+00	0.000000000000000e+00	1.189100851900004e-01	-1.588942341087554e-04	4.178731742569772e-02	
6	6.751903686324968e-04	3.752350646266361e-03	1.189955938467132e-04	0.000000000000000e+00	0.000000000000000e+00	2.587489633249285e+01	1.034995853299714e+01	3.029968227048233e+02	1.084914943588835e+00	0.000000000000000e+00	0.000000000000000e+00	1.617814056878483e-01	-3.827740633209513e-04	4.633430937862301e-02	
7	1.047316101664145e-03	5.664270167515467e-03	1.174370336830907e-04	0.000000000000000e+00	0.000000000000000e+00	2.551710794290067e+01	1.020684317716027e+01	3.027727005182390e+02	9.908981397093118e-01	0.000000000000000e+00	0.000000000000000e+00	2.532945308846757e-01	-1.097545593796210e-03	5.449748292716648e-02	
8	2.041387917534347e-03	7.885551751359536e-03	1.146985966304605e-04	0.000000000000000e+00	0.000000000000000e+00	2.489337965272687e+01	9.957351861090746e+00	3.024238898297791e+02	8.269997516195733e-01	0.000000000000000e+00	0.000000000000000e+00	2.897199161191052e-01	-2.152829389479311e-03	5.629780302131700e-02	
9	3.647693398582074e-03	1.045616752296861e-02	1.119318861899205e-04	0.000000000000000e+00	0.000000000000000e+00	2.425983321323501e+01	9.703933285294001e+00	3.020120874991334e+02	6.605214278870138e-01	0.000000000000000e+00	0.000000000000000e+00	3.110761935834044e-01	-3.040392397195145e-03	5.649560454968280e-02	
